School Name,URL,State,Address,Latitude,Longitude
Drew University,http://drew.edu,NJ,"36 Madison Ave, Madison, NJ 07940, USA",40.7612505,-74.4252577
Eastwick College,http://eastwickcollege.edu,NJ,"10 S Franklin Turnpike, Ramsey, NJ 07446, USA",41.0579888,-74.1315544
Fairleigh Dickinson University,http://fdu.edu,NJ,"1000 River Rd, Teaneck, NJ 07666, USA",40.8989063,-74.0302378
Felician College,http://felician.edu,NJ,"One Felician Way, Rutherford, NJ 07070, USA",40.8301777,-74.1121924
Fortis Institute,http://fortis.edu,NJ,"201 WILLOWBROOK BLVD, WAYNE, NJ 07470",40.885366,-74.2558662
Georgian Court University,http://georgian.edu,NJ,"900 Lakewood Ave, Lakewood, NJ 08701, USA",40.0997898,-74.2274498
Kean University,http://kean.edu,NJ,"1000 Morris Ave, Union, NJ 07083, USA",40.6798676,-74.2309413
Mercer County Community  College,http://mccc.edu,NJ,"1200 Old Trenton Rd, West Windsor Township, NJ 08550, USA",40.2533902,-74.6506009
Middlesex County College,http://middlesexcc.edu,NJ,"2600 Woodbridge Ave, Edison, NJ 08837, USA",40.5100271,-74.3658646
Monmouth University,http://monmouth.edu,NJ,"400 Cedar Ave, West Long Branch, NJ 07764, USA",40.2826275,-74.005545
Montclair State University,http://montclair.edu,NJ,"1 Normal Ave, Montclair, NJ 07043, USA",40.8597586,-74.1997454
New Jersey City University,http://njcu.edu,NJ,"2039 John F. Kennedy Blvd, Jersey City, NJ 07305, USA",40.7090176,-74.08634
New Jersey Institute of Technology,http://njit.edu,NJ,"323 Dr Martin Luther King Jr Blvd, Newark, NJ 07102, USA",40.7428189,-74.1770705
Ocean County College,http://ocean.edu,NJ,"1 College Dr, Toms River, NJ 08754, USA",40.0112921,-74.1679659
Princeton University,http://princeton.edu,NJ,"1 NASSAU HALL, PRINCETON, NJ 08544",40.3486278,-74.6593444
Princeton Theological Seminary,http://ptsem.edu,NJ,"64 Mercer St, Princeton, NJ 08542, USA",40.3452395,-74.6635097
Ramapo College of New Jersey,http://ramapo.edu,NJ,"505 Ramapo Valley Rd, Mahwah, NJ 07430, USA",41.0819548,-74.1744242
Raritan Valley Community College,http://raritanval.edu,NJ,"118 Lamington Rd, Branchburg, NJ 08876, USA",40.6116987,-74.6883885
Rider University,http://rider.edu,NJ,"2083 Lawrenceville Rd, Lawrenceville, NJ 08648, USA",40.2792703,-74.7372274
Rowan University,http://rowan.edu,NJ,"201 Mullica Hill Rd, Glassboro, NJ 08028, USA",39.7100477,-75.1229074
Rutgers University,http://rutgers.edu,NJ,"65 DAVIDSON RD, PISCATAWAY, NJ 08854",40.5234821,-74.4556185
Seton Hall University,http://shu.edu,NJ,"400 S Orange Ave, South Orange, NJ 07079, USA",40.7478808,-74.2709318
Stenotech Career Institute,http://stenotech.edu,NJ,"262 Old New Brunswick Rd, Piscataway, NJ 08854, USA",40.5530033,-74.4765583
Stevens Institute of Technology,http://stevens.edu,NJ,"1 Castle Point Terrace, Hoboken, NJ 07030, USA",40.7446229,-74.0253995
Stockton College,http://stockton.edu,NJ,"101 Vera King Farris Dr, Galloway, NJ 08205, USA",39.5017171,-74.5281344
Sussex County Community College,http://sussex.edu,NJ,"1 College Hill Rd, Newton, NJ 07860, USA",41.0682698,-74.7578004
The College of New Jersey,http://tcnj.edu,NJ,"2000 Pennington Rd, Ewing Township, NJ 08618, USA",40.2684386,-74.7776962
Thomas Edison State College,http://tesc.edu,NJ,"111 W State St, Trenton, NJ 08608, USA",40.220262,-74.768303
